ID,Metric - Number of projections,Metric - Number of tables,Metric - Number of aggregation functions,Metric - Number of selections,Metric - Common projections number,Metric - Common selections number,Metric - Common aggregation functions number,Metric - Common tables number
318,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
319,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
320,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
321,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
322,9.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0
323,9.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0
324,9.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0
325,9.0,1.0,0.0,2.0,9.0,1.0,0.0,1.0
326,9.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0
327,9.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0
328,9.0,1.0,0.0,1.0,9.0,1.0,0.0,1.0
329,9.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0
330,9.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0
331,9.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0
332,9.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0
333,9.0,1.0,0.0,1.0,9.0,1.0,0.0,1.0
334,9.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0
335,9.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0
336,9.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0
337,9.0,1.0,0.0,2.0,9.0,0.0,0.0,1.0
338,9.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0
339,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
340,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0
341,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
342,9.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0
343,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0
344,1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0
345,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0
346,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
347,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
348,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
349,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
350,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
351,1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0
352,1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0
353,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0
354,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
355,12.0,1.0,0.0,1.0,12.0,1.0,0.0,1.0
356,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
357,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
358,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
359,1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0
360,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
361,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
362,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0
363,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
364,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
365,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0
366,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
367,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
368,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
369,14.0,1.0,0.0,2.0,14.0,1.0,0.0,1.0
370,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
371,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
372,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
373,14.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
374,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
376,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
377,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
378,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
379,2.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0
380,2.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0
381,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
382,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
383,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
384,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
385,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
386,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
387,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
388,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
389,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
390,23.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
391,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
392,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
393,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
394,9.0,1.0,0.0,3.0,9.0,2.0,0.0,1.0
